Collection_point	Mixed	Recyclable
1	0.09	0.28
2	0.12	0.36
3	0.13	0.45
4	0.15	0.44
9	0.05	0.11
10	0.11	0.29
11	0.28	1.17
12	0.32	1.32
13	0.36	0.97
22	0.05	0.23
23	0.11	0.4
24	0.2	0.98
25	0.19	1.05
26	0.13	0.78
27	0.42	2.06
28	0.34	1.53
36	0.19	0.98
37	0.18	1.14
38	0.28	1.53
39	0.25	1.19
40	0.52	1.52
53	0.38	1.28
54	0.24	0.91
55	0.27	0.83
56	0.09	0.44
57	0.21	1
62	0.58	1.6
63	0.32	1.25
64	0.23	0.84
65	0.15	0.76
99	0.04	0.18
100	0.22	0.59
101	0.08	0.51
102	0.1	0.43
103	0.19	0.47
112	0.22	0.62
113	0.27	1.2
114	0.16	0.76
117	0.12	0.36
118	0.08	0.4
119	0.25	1.05
120	0.12	0.67
121	0.22	0.81
129	0.14	0.47
130	0.23	0.92
131	0.21	1.08
132	0.21	1.33
133	0.26	1.23
139	0.14	0.6
140	0.46	1.85
141	0.46	1.78
142	0.32	0.93
143	0.2	0.64
148	0.22	0.72
149	0.51	1.48
150	0.29	1.11
151	0.3	0.91
152	0.2	0.59
